date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2017-09-29,80.0300,82.4500,79.9800,81.9800,60.3698,52566293,0.0000
2017-09-22,79.7900,80.6600,79.6700,79.9200,58.8528,49857716,0.0000
2017-09-15,79.4100,80.2300,78.9000,80.0700,58.9633,52378856,0.0000
2017-09-08,76.6400,79.3299,76.6100,78.8200,58.0428,48501966,0.0000
2017-09-01,76.9000,76.9400,76.0500,76.5700,56.3859,46114625,0.0000
2017-08-25,76.4700,77.3350,76.0800,76.7200,56.4963,41115328,0.0000
2017-08-18,78.6200,78.7900,76.0500,76.6400,56.4374,52675147,0.0000
2017-08-11,80.1700,80.3500,78.2000,78.2100,57.5936,47597410,0.7700
2017-08-04,79.8300,80.8200,79.6000,80.2100,58.4960,51411692,0.0000
2017-07-28,80.0600,81.0500,78.2700,79.6000,58.0511,64653997,0.0000
2017-07-21,81.0000,81.4900,80.0000,80.1200,58.4304,47004817,0.0000
2017-07-14,80.0000,81.5150,79.9600,81.2800,59.2763,36550444,0.0000
